gene	p-value Repl. 1	p-value Repl. 2	Fisher Statistic	p-value combined	significant
PYROXD1	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
SCP2D1	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
SLIT2	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
SMOC2	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
STYXL1	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
ZNF236	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
ECT2L	0.823395953757	0.786188340807	0.869753959271	0.928859432119	False
HEMGN	0.823395953757	0.786188340807	0.869753959271	0.928859432119	False
MAP2K1	0.823395953757	0.786188340807	0.869753959271	0.928859432119	False
OGFOD2	0.806237458194	0.811666666667	0.848084997709	0.931887815097	False
OPTC	0.806237458194	0.811666666667	0.848084997709	0.931887815097	False
PLGRKT	0.806237458194	0.811666666667	0.848084997709	0.931887815097	False
TMEM125	0.806237458194	0.811666666667	0.848084997709	0.931887815097	False
ZC2HC1A	0.806237458194	0.811666666667	0.848084997709	0.931887815097	False
ZSCAN22	0.806237458194	0.811666666667	0.848084997709	0.931887815097	False
CTTNBP2	0.849418604651	0.786188340807	0.807524107933	0.937436515756	False
ALDH1A1	0.823395953757	0.811666666667	0.805967231718	0.937646288034	False
HNRNPM	0.823395953757	0.811666666667	0.805967231718	0.937646288034	False
KCNJ8	0.823395953757	0.811666666667	0.805967231718	0.937646288034	False
LRRC40	0.823395953757	0.811666666667	0.805967231718	0.937646288034	False
NPR1	0.823395953757	0.811666666667	0.805967231718	0.937646288034	False
SGOL1	0.823395953757	0.811666666667	0.805967231718	0.937646288034	False
DIS3L2	0.806237458194	0.830113636364	0.803139286005	0.938026704417	False
PIM3	0.806237458194	0.830113636364	0.803139286005	0.938026704417	False
SCARB1	0.806237458194	0.830113636364	0.803139286005	0.938026704417	False
SVIP	0.806237458194	0.830113636364	0.803139286005	0.938026704417	False
USP35	0.806237458194	0.830113636364	0.803139286005	0.938026704417	False
hsa-mir-885	0.806237458194	0.830113636364	0.803139286005	0.938026704417	False
COX6B2	0.806237458194	0.84520661157	0.767102275001	0.942803254924	False
LDB3	0.806237458194	0.84520661157	0.767102275001	0.942803254924	False
MTERFD3	0.806237458194	0.84520661157	0.767102275001	0.942803254924	False
PANK1	0.806237458194	0.84520661157	0.767102275001	0.942803254924	False
PDZD7	0.806237458194	0.84520661157	0.767102275001	0.942803254924	False
RNMTL1	0.806237458194	0.84520661157	0.767102275001	0.942803254924	False
RSU1	0.806237458194	0.84520661157	0.767102275001	0.942803254924	False
SRSF9	0.806237458194	0.84520661157	0.767102275001	0.942803254924	False
C1QL3	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
CD52	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
DRD3	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
DYRK1A	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
FKBP3	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
SLC26A2	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
ZCCHC18	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
hsa-mir-4711	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
hsa-mir-650	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
hsa-mir-6837	0.823395953757	0.830113636364	0.761021520013	0.943595959591	False
MAP6D1	0.875141430948	0.786188340807	0.747857332453	0.945298630177	False
ATP13A3	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
C1orf151-NBL1	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
C5orf47	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
DLX4	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
KLF7	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
LLPH	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
MRPS9	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
NUMA1	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
PCDHGA10	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
PDE11A	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
ZNF77	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
hsa-mir-3198-2	0.823395953757	0.84520661157	0.72498450901	0.948212456378	False
FTO	0.849418604651	0.830113636364	0.698791668676	0.951477849401	False
LRIT2	0.849418604651	0.830113636364	0.698791668676	0.951477849401	False
PCNXL3	0.849418604651	0.830113636364	0.698791668676	0.951477849401	False
STAC2	0.849418604651	0.830113636364	0.698791668676	0.951477849401	False
UCKL1	0.849418604651	0.830113636364	0.698791668676	0.951477849401	False
BAX	0.875141430948	0.811666666667	0.6840706049	0.953278714084	False
MCOLN3	0.875141430948	0.811666666667	0.6840706049	0.953278714084	False
MTMR14	0.875141430948	0.811666666667	0.6840706049	0.953278714084	False
SPTY2D1	0.875141430948	0.811666666667	0.6840706049	0.953278714084	False
AP3S1	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
ASIP	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
C1QTNF4	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
C2orf68	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
DEFB4A	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
EIF3J	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
EXOSC6	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
FOXP2	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
GAGE10	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
HMGB2	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
IFNLR1	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
KIAA1143	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
MED13	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
NANP	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
OMD	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
OTX2	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
PCBP4	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
POLR2H	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
PTPRB	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
RBL1	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
RBL2	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
RIMS1	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
SIRT6	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
SLC7A5	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
STXBP5L	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
TPCN2	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
UBLCP1	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
UCN	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
hsa-mir-3940	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
hsa-mir-5584	0.849418604651	0.84520661157	0.662754657672	0.955841344958	False
ACTR3C	0.806237458194	0.899319654428	0.64298741554	0.958169089334	False
C4B_2	0.806237458194	0.899319654428	0.64298741554	0.958169089334	False
CACTIN	0.806237458194	0.899319654428	0.64298741554	0.958169089334	False
ASCL2	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
BEX1	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
C1orf174	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
CHKB	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
CHML	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
CTBP1	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
CXCL11	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
DCHS1	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
DDX21	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
DSCR4	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
ENTPD6	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
EXOC4	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
EYA3	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
FAM179A	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
GAK	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
GDF6	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
GFPT1	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
HDHD3	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
HTR2B	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
KCNG2	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
LAPTM5	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
LGALS8	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
MAGEB6	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
MPZL2	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
MRPS34	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
NRG1	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
NonTargetingControlGuideForHuman_0707	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
OR11A1	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
P2RY12	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
PGM1	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
RMDN2	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
RNF8	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
RPS6KB2	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
SAP130	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
SLC13A5	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
SLC6A14	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
SNX18	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
STRN3	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
SYT5	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
TBC1D2B	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
TMEM17	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
TMEM237	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
ZFPM2	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
ZNF45	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
hsa-mir-2276	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
hsa-mir-29c	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
hsa-mir-3646	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
hsa-mir-4787	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
hsa-mir-6788	0.875141430948	0.84520661157	0.603087882192	0.962719935675	False
COL3A1	0.806237458194	0.925393474088	0.585826442492	0.964625594425	False
FAM161A	0.806237458194	0.925393474088	0.585826442492	0.964625594425	False
hsa-mir-8070	0.849418604651	0.899319654428	0.538639798211	0.969632006131	False
AK3	0.875141430948	0.8766	0.530148522629	0.970500427128	False
C12orf10	0.875141430948	0.8766	0.530148522629	0.970500427128	False
CLCA4	0.875141430948	0.8766	0.530148522629	0.970500427128	False
CYP2S1	0.875141430948	0.8766	0.530148522629	0.970500427128	False
FAM189A2	0.875141430948	0.8766	0.530148522629	0.970500427128	False
MAP6	0.875141430948	0.8766	0.530148522629	0.970500427128	False
NUDT9	0.875141430948	0.8766	0.530148522629	0.970500427128	False
NonTargetingControlGuideForHuman_0759	0.875141430948	0.8766	0.530148522629	0.970500427128	False
RASA1	0.875141430948	0.8766	0.530148522629	0.970500427128	False
SPCS1	0.875141430948	0.8766	0.530148522629	0.970500427128	False
TUBB2B	0.875141430948	0.8766	0.530148522629	0.970500427128	False
hsa-mir-5582	0.875141430948	0.8766	0.530148522629	0.970500427128	False
HTRA3	0.806237458194	0.954486062718	0.523918408604	0.971131136344	False
LAX1	0.806237458194	0.954486062718	0.523918408604	0.971131136344	False
ADCY2	0.875141430948	0.899319654428	0.478973022731	0.975515410747	False
ANKMY1	0.875141430948	0.899319654428	0.478973022731	0.975515410747	False
BPNT1	0.875141430948	0.899319654428	0.478973022731	0.975515410747	False
BRD2	0.875141430948	0.899319654428	0.478973022731	0.975515410747	False
C14orf1	0.875141430948	0.899319654428	0.478973022731	0.975515410747	False
